1000	151.33097621042927	214.8159036	278.3008309895708
2000	195.34531099068704	214.6561698	233.96702860931293
3000	192.5589293413162	229.04888984999997	265.5388503586837
4000	208.88267922589316	223.5362184	238.18975757410684
5000	202.81212741014042	237.0438193	271.27551118985957
6000	215.37579960630615	247.96781274999998	280.5598258936938
7000	203.40512978793745	221.8193498	240.23356981206254
8000	213.57586529576787	229.29648575000002	245.01710620423216
9000	206.1923373021569	222.10475205000003	238.01716679784317
10000	203.98606737834547	234.50208435	265.0181013216545
