1000	217.076962	233.900000
2000	208.489879	345.793103
3000	212.133748	257.370370
4000	200.100014	266.250000
5000	249.520906	443.514286
6000	209.837628	330.944444
7000	206.199603	286.940000
8000	190.243482	304.454545
9000	298.148846	288.620690
10000	218.206294	361.615385
11000	225.931795	312.941176
12000	201.456513	286.558824
13000	208.212632	411.548387
14000	214.496131	372.657143
15000	205.745264	323.909091
16000	213.301145	390.233333
17000	218.622035	310.960000
18000	317.284551	337.721311
19000	314.277622	582.575758
20000	220.149494	331.115385
21000	211.022267	307.428571
