1000	186.131371	278.941176
2000	188.666901	249.288136
3000	310.676153	344.396226
4000	224.466236	299.200000
5000	223.654372	361.254902
6000	212.194610	295.387097
7000	244.305325	335.860465
8000	344.826649	351.490196
9000	367.016589	325.520833
10000	267.935451	351.092593
11000	229.189588	303.530612
12000	259.624975	342.600000
13000	226.817473	328.535714
14000	195.217713	307.739130
15000	215.404980	352.680000
16000	232.322616	307.657895
17000	216.949073	353.446429
18000	805.481739	440.941176
19000	257.627468	279.781818
20000	265.102219	355.169492
