1000	3627.660750	25.124455
2000	10428.904375	23.513737
3000	11836.167067	23.759582
4000	20983.263379	23.597412
5000	33200.503156	23.735621
6000	25735.202685	23.921744
7000	44390.244360	24.074678
8000	27519.523793	25.427114
9000	53561.281950	23.788959
10000	28421.924693	26.073286
11000	64469.141641	23.399827
12000	37837.207713	23.474083
13000	65752.809876	23.960017
14000	77111.198081	25.150626
15000	88085.867781	24.071324
16000	92086.187859	23.695477
17000	63837.001299	23.845392
18000	81024.530115	23.923513
19000	54798.833632	23.546097
20000	167367.509092	25.463089
21000	161580.826998	24.887898
