1000	1102
2000	2482
3000	5017
4000	7756
5000	9698
6000	12286
7000	15784
8000	18060
9000	24557
10000	27604
11000	28992
12000	32664
13000	39646
14000	42067
15000	48055
16000	51600
17000	55578
18000	59315
19000	63775
20000	68802
