1000	26	37	1000	25	37	1000	26	37	1000	26	39	1000	26	37	1000	25	36	1000	25	36	1000	28	39	1000	25	37	1000	28	38	1000	25	37	1000	26	37	1000	26	37	1000	26	37	1000	25	37	1000	25	37	1000	25	37	1000	25	37	1000	26	41	1000	27	43
3000	25	37	3000	25	37	3000	25	37	3000	25	37	3000	29	49	3000	25	37	3000	25	37	3000	25	37	3000	26	36	3000	25	38	3000	25	43	3000	25	37	3000	25	37	3000	25	37	3000	25	37	3000	26	37	3000	28	40	3000	27	37	3000	25	38	3000	25	37
5000	29	43	5000	26	41	5000	30	38	5000	25	37	5000	25	37	5000	25	36	5000	26	38	5000	25	37	5000	26	37	5000	28	38	5000	25	36	5000	27	51	5000	25	37	5000	25	36	5000	25	37	5000	25	36	5000	25	37	5000	26	37	5000	25	36	5000	26	40
7000	26	36	7000	26	36	7000	26	36	7000	26	38	7000	26	36	7000	28	36	7000	26	36	7000	26	37	7000	26	37	7000	26	36	7000	26	36	7000	26	36	7000	26	37	7000	26	37	7000	26	36	7000	26	40	7000	26	37	7000	26	37	7000	26	36	7000	26	36
9000	25	39	9000	25	37	9000	25	38	9000	25	38	9000	25	37	9000	25	60	9000	25	37	9000	25	37	9000	26	36	9000	25	37	9000	25	37	9000	25	37	9000	29	44	9000	25	36	9000	25	38	9000	27	37	9000	25	36	9000	26	37	9000	25	37	9000	26	42
11000	25	36	11000	26	36	11000	25	41	11000	25	38	11000	26	36	11000	25	37	11000	25	38	11000	25	37	11000	26	38	11000	25	36	11000	26	37	11000	25	36	11000	25	36	11000	25	37	11000	25	37	11000	26	49	11000	25	39	11000	25	36	11000	25	37	11000	26	37
13000	26	36	13000	27	38	13000	26	37	13000	26	44	13000	26	37	13000	27	37	13000	26	37	13000	26	44	13000	27	37	13000	29	36	13000	26	36	13000	26	35	13000	26	38	13000	26	36	13000	26	36	13000	26	36	13000	26	38	13000	26	37	13000	26	36	13000	26	42
15000	25	44	15000	26	37	15000	25	37	15000	26	38	15000	26	40	15000	26	37	15000	25	37	15000	25	36	15000	27	40	15000	26	40	15000	26	42	15000	25	35	15000	26	36	15000	26	36	15000	25	35	15000	26	36	15000	26	36	15000	27	38	15000	26	39	15000	26	37
17000	25	37	17000	26	37	17000	26	38	17000	26	37	17000	25	38	17000	25	41	17000	25	37	17000	25	37	17000	25	36	17000	25	37	17000	25	37	17000	24	35	17000	26	37	17000	25	36	17000	25	36	17000	26	39	17000	25	36	17000	25	37	17000	26	37	17000	25	37
19000	25	35	19000	27	37	19000	26	39	19000	26	36	19000	25	37	19000	26	37	19000	26	38	19000	25	37	19000	25	36	19000	25	37	19000	25	37	19000	24	34	19000	26	37	19000	25	36	19000	25	35	19000	26	37	19000	26	36	19000	26	37	19000	25	38	19000	25	37
