1000	1042.699404	24.330660
2000	2256.692885	24.349933
3000	3735.740095	24.524234
4000	5806.957768	24.605885
5000	7940.247869	25.904320
6000	10042.773808	25.248251
7000	14048.728984	28.088787
8000	19288.971005	25.963541
9000	21656.405401	26.206784
10000	25963.489285	28.202607
11000	28406.688462	26.797954
12000	34296.412845	30.072561
13000	39518.509457	26.845483
14000	37427.612495	26.852960
15000	44038.425496	29.675006
16000	42875.163129	27.186676
17000	57668.342750	26.996374
18000	48752.092009	27.130336
19000	68793.527917	27.841811
20000	75056.814825	27.093719
