2	0.00000000
102	0.06100000
202	0.15000000
302	0.21000000
402	0.24100000
502	0.34600000
602	0.40900000
702	0.39800000
802	0.48700000
902	0.60000000
1002	0.82800000
1102	0.84000000
1202	0.83800000
1302	0.71600000
1402	0.97400000
1502	0.83000000
1602	1.15200000
1702	1.13500000
1802	1.01500000
1902	1.19000000
2002	1.29400000
2102	1.48900000
2202	1.48100000
2302	1.32100000
2402	1.68700000
2502	1.66500000
2602	1.89600000
2702	0.94900000
2802	2.15600000
2902	1.51200000
3002	0.40500000
3102	1.67900000
3202	2.17200000
3302	2.41500000
3402	1.90600000
3502	2.03600000
3602	2.61700000
3702	2.54000000
3802	2.07600000
3902	2.73000000
4002	2.85200000
4102	2.92200000
4202	3.81000000
4302	3.04500000
4402	2.67900000
4502	3.19300000
4602	3.10800000
4702	2.59100000
4802	2.40500000
4902	3.27800000
5002	2.96900000
5102	3.80800000
5202	3.82500000
5302	2.75000000
5402	3.56200000
5502	3.15200000
5602	3.31100000
5702	3.92900000
5802	3.07600000
5902	2.91700000
6002	3.10700000
6102	4.04700000
6202	4.28200000
6302	4.13000000
6402	3.41000000
6502	3.31300000
6602	5.49900000
6702	4.62200000
6802	3.38000000
6902	4.07900000
7002	3.47200000
7102	4.29300000
7202	3.59100000
7302	4.73700000
7402	4.32400000
7502	3.72900000
7602	4.24700000
7702	4.22500000
7802	5.45900000
7902	4.47400000
8002	5.28800000
8102	4.27500000
8202	6.71200000
8302	5.34600000
8402	4.47700000
8502	5.62400000
8602	4.88600000
8702	4.96300000
8802	6.05100000
8902	4.69800000
9002	5.95900000
9102	7.35800000
9202	6.22100000
9302	6.79600000
9402	4.64100000
9502	5.17900000
9602	5.07300000
9702	6.23800000
9802	7.10400000
9902	5.76400000
