1000	6568.107724	26.029840
2000	9376.199723	24.259074
3000	14199.626848	23.999436
4000	9504.708185	25.461765
5000	25522.314999	24.585388
6000	12836.324829	23.552462
7000	30714.219607	24.687988
8000	18825.211298	24.740169
9000	24893.961673	36.676695
10000	41521.605591	25.072401
11000	25258.588748	26.415908
12000	21862.691425	23.849704
13000	69651.989917	24.428158
14000	43147.981023	23.979649
15000	71773.357032	24.621433
16000	49526.561881	24.203698
17000	40362.545197	25.263717
18000	38787.746803	24.024339
19000	88396.678436	33.342205
20000	158006.976573	24.259386
21000	49054.712887	23.882863
