1000	219.896598	27.545994	1000	217.222597	25.437191	1000	221.897716	26.220574	1000	213.735909	26.168150	1000	212.708658	25.463897	1000	235.159922	27.606330	1000	213.953873	25.800198	1000	218.484054	25.352127	1000	215.126522	25.695351	1000	221.910098	26.668645	1000	223.825650	26.275964	1000	215.380847	25.288823	1000	227.172418	26.880317	1000	221.900636	26.277943	1000	214.121057	26.333333	1000	221.209110	26.470821	1000	221.668892	26.339268	1000	213.658482	25.616222	1000	213.750906	25.353116	1000	216.253272	25.407517	1000	215.050999	25.562809	1000	215.179118	26.491592	1000	231.559179	25.488625	1000	218.946933	26.003956	1000	211.860430	25.513353	1000	252.297228	33.783383	1000	223.192279	25.390702	1000	212.520825	25.695351	1000	214.059146	25.353116	1000	213.324427	28.300692	1000	212.352405	26.272008	1000	214.336426	25.485658	1000	220.791880	38.230465	1000	226.109350	26.534125	1000	214.192447	27.697329	1000	217.015042	25.539070	1000	213.614571	25.668645	1000	228.387987	26.447082	1000	213.569664	25.725025	1000	213.969257	26.346192	1000	220.707855	26.523244	1000	212.834449	26.000989	1000	243.245247	26.804154	1000	225.452358	25.678536	1000	214.939531	26.137488	1000	215.131363	25.353116	1000	214.884644	25.343225	1000	215.098752	25.354105	1000	212.902105	26.636993	1000	252.035483	30.453017	1000	215.609767	25.658754	1000	215.654309	25.330366	1000	216.099575	26.238378	1000	213.762702	25.350148	1000	220.300699	33.127596	1000	225.024941	26.562809	1000	219.467452	27.658754	1000	230.997543	27.247280	1000	214.395579	25.543027	1000	222.417175	27.339268	1000	232.114632	26.300692	1000	277.436397	26.672601	1000	218.769312	25.321464	1000	213.617302	25.947577	1000	217.003056	27.621167	1000	228.982919	26.679525	1000	214.108549	25.374876	1000	227.607107	26.303660	1000	211.254481	26.196835	1000	212.789927	26.393670	1000	222.937932	26.273986
2000	392.757197	26.540877	2000	365.482335	25.722333	2000	365.043142	25.387836	2000	354.538344	26.842473	2000	348.458556	24.435194	2000	371.573758	25.283649	2000	360.125180	25.274676	2000	353.930106	25.278166	2000	357.345138	25.581256	2000	359.700297	25.896311	2000	330.511507	23.577767	2000	372.094692	25.483051	2000	361.842803	25.351446	2000	357.825605	25.967099	2000	358.678174	25.254237	2000	358.305945	26.485543	2000	344.787643	24.432702	2000	395.238301	25.546361	2000	348.478259	24.407278	2000	349.415202	24.403290	2000	343.776603	24.258225	2000	368.075159	25.724327	2000	362.353800	25.302094	2000	355.424416	25.612164	2000	360.884586	25.277168	2000	358.046115	25.558824	2000	356.583949	25.425224	2000	355.396476	49.151047	2000	363.075074	25.622632	2000	365.167261	26.282154	2000	357.052739	25.956630	2000	360.454013	26.076271	2000	358.501231	25.558824	2000	364.690786	25.424726	2000	367.742378	25.793121	2000	355.667006	25.322532	2000	357.795924	25.464606	2000	388.352994	31.655533	2000	370.447304	26.740279	2000	367.080637	25.297607	2000	362.132824	25.475075	2000	376.671890	25.297607	2000	361.029512	25.561815	2000	369.419915	26.081256	2000	371.336008	25.519940	2000	355.941529	25.416750	2000	358.584119	25.380359	2000	358.110998	25.261715	2000	369.527346	25.322532	2000	354.838429	25.412762	2000	361.561529	25.431206	2000	353.532144	26.750249	2000	361.874565	25.613161	2000	358.808577	27.161017	2000	358.635881	25.944167	2000	354.253121	25.270688	2000	361.507643	25.326022	2000	362.480297	28.426720	2000	360.059108	26.682951	2000	366.449639	25.316550	2000	356.397792	25.949153	2000	342.411083	24.389332	2000	371.494989	26.685444	2000	362.803609	24.793619	2000	352.401401	25.408275	2000	359.151338	27.866401	2000	407.830786	32.244267	2000	356.458556	25.379362	2000	347.668025	25.564307	2000	372.803355	26.144566	2000	361.116815	25.469093
3000	476.177656	24.747841	3000	470.124444	24.456478	3000	443.540840	23.610963	3000	445.773145	23.930565	3000	438.688436	24.832226	3000	481.500529	25.498339	3000	444.653119	24.085050	3000	447.991918	25.564784	3000	444.055260	24.643854	3000	446.820530	24.157143	3000	457.153914	23.594020	3000	445.258940	24.702658	3000	460.079252	24.782724	3000	513.200002	30.243189	3000	442.914154	25.547176	3000	500.394662	28.247508	3000	449.292987	25.265449	3000	455.718193	25.278073	3000	437.474104	34.638206	3000	573.522034	37.417608	3000	446.365282	24.229236	3000	442.156035	23.618272	3000	450.935977	24.814950	3000	449.681137	23.596346	3000	468.050339	24.287043	3000	440.764822	23.625581	3000	454.423096	35.683056	3000	521.660913	31.935880	3000	480.313522	24.071761	3000	477.384361	24.479402	3000	468.309556	23.595349	3000	594.334404	27.123920	3000	449.672985	24.601329	3000	451.592133	23.654153	3000	458.210913	24.749834	3000	456.067121	24.462791	3000	443.688553	29.698339	3000	448.551402	23.703654	3000	467.352891	24.440864	3000	445.511040	23.877409	3000	559.639043	30.134884	3000	483.965972	25.024252	3000	448.193656	23.820930	3000	462.458377	29.065116	3000	449.720350	24.505648	3000	438.799928	24.491694	3000	446.127858	24.597010	3000	455.592904	24.085050	3000	439.275707	24.161794	3000	442.534569	23.660797	3000	472.673701	29.454485	3000	483.360770	23.589701	3000	435.318731	24.032226	3000	1652.465996	24.646512	3000	440.983778	33.064452	3000	448.897714	23.707309	3000	438.760131	29.487708	3000	462.082518	24.216611	3000	456.056708	24.041860	3000	477.160999	23.616611	3000	485.287140	25.530897	3000	446.763308	28.381063	3000	785.947049	24.019601	3000	555.573708	27.602658	3000	454.431828	29.008970	3000	443.303728	23.683389	3000	454.108849	23.736545	3000	452.302809	34.849834	3000	445.187116	23.602658	3000	483.918790	24.424917	3000	447.203567	23.934884
4000	617.538405	25.274632	4000	537.960543	24.150661	4000	558.285900	24.544275	4000	551.163166	23.595660	4000	552.399705	24.377900	4000	543.617664	23.750811	4000	552.883593	23.771764	4000	662.503706	28.908207	4000	549.171059	24.040409	4000	554.178793	23.727363	4000	550.607221	28.126465	4000	564.368018	23.566725	4000	625.794510	29.989773	4000	632.580590	24.202794	4000	654.536220	30.407333	4000	554.529953	24.030681	4000	546.616035	23.659766	4000	553.939736	23.919182	4000	547.877721	23.787977	4000	566.891020	25.397605	4000	538.772311	32.677975	4000	543.274628	25.973310	4000	568.618564	24.418309	4000	550.576547	24.418059	4000	554.510232	23.698429	4000	553.493044	25.129708	4000	1123.259480	24.479671	4000	698.051708	23.682714	4000	544.381569	24.399102	4000	545.696052	24.056124	4000	539.853044	26.186331	4000	550.611901	24.496633	4000	558.040890	24.602145	4000	604.398061	25.237965	4000	550.123336	23.761537	4000	626.491832	32.040659	4000	588.416191	30.437516	4000	536.900186	28.216513	4000	547.810868	24.052133	4000	592.023446	23.846346	4000	552.784387	23.575455	4000	559.358755	23.983288	4000	562.205980	23.950611	4000	554.057470	23.838114	4000	542.868186	23.616114	4000	576.608410	24.560489	4000	578.770684	27.720379	4000	548.135380	28.170866	4000	550.788214	27.546021	4000	633.072440	27.462210	4000	572.217763	28.834373	4000	554.493092	24.014966	4000	581.029981	24.067598	4000	542.546776	24.596159	4000	570.767869	24.658269	4000	547.891836	25.953854	4000	535.238707	24.166875	4000	579.783005	25.324021	4000	544.139717	24.267398	4000	541.516913	28.153155	4000	555.335171	24.051883	4000	567.427600	25.159641	4000	575.399886	29.636318	4000	570.392850	24.142679	4000	542.896893	24.487653	4000	566.353995	24.441756	4000	562.786363	23.942879	4000	542.729723	33.088800	4000	554.376935	23.671240	4000	566.024262	27.415814	4000	536.813859	23.650536
5000	685.836044	37.673657	5000	824.003540	24.819053	5000	692.445284	26.838027	5000	919.890864	23.677851	5000	647.755464	23.902337	5000	1083.597216	23.643899	5000	704.280648	25.304374	5000	689.401349	24.165968	5000	678.831379	23.809666	5000	674.765877	24.895746	5000	675.147049	23.872179	5000	733.256126	27.649890	5000	866.996477	27.400639	5000	695.563954	23.848412	5000	698.503473	28.219692	5000	693.292548	24.429599	5000	672.918227	23.652287	5000	671.734566	24.574596	5000	679.301745	24.851807	5000	1005.011890	29.883563	5000	683.671547	24.809067	5000	760.714572	25.477332	5000	656.014873	23.609746	5000	715.547481	24.342321	5000	669.056259	32.239664	5000	669.985297	24.782704	5000	706.268506	24.455762	5000	1049.441772	23.942281	5000	751.956304	25.831037	5000	728.535472	30.637507	5000	686.796800	26.705812	5000	681.580435	23.801877	5000	750.441268	25.459357	5000	672.369684	27.804673	5000	679.956505	24.337927	5000	721.057838	24.895946	5000	676.409999	29.268224	5000	680.725563	27.351108	5000	815.796632	26.710006	5000	705.514611	25.428999	5000	705.234957	24.428600	5000	693.619481	23.901937	5000	696.913835	28.086279	5000	704.303837	25.257440	5000	690.427994	24.650290	5000	707.010097	25.212702	5000	689.559675	24.012183	5000	677.031536	27.641302	5000	702.942236	25.668664	5000	667.629522	23.595566	5000	694.915253	24.062113	5000	676.892227	23.698422	5000	698.990939	24.038147	5000	714.042158	24.455962	5000	1068.291125	24.059117	5000	729.224589	24.267625	5000	702.701056	24.654284	5000	711.793704	24.944278	5000	682.937369	24.099860	5000	726.219096	23.643100	5000	839.735739	24.834232	5000	700.848847	27.891552	5000	686.176920	23.865588	5000	673.410679	24.127222	5000	675.656228	24.107649	5000	723.780770	24.841622	5000	819.841483	27.602756	5000	794.876160	29.921909	5000	677.210646	27.815658	5000	699.147771	25.160375	5000	1115.209658	24.092471
6000	1101.409290	23.932945	6000	1059.102611	29.132779	6000	1275.819803	25.133111	6000	1094.960966	26.782030	6000	1142.916220	26.523295	6000	1038.435377	26.200000	6000	1030.581449	24.267554	6000	1283.825696	31.497338	6000	1040.097882	24.857072	6000	1049.146880	23.673378	6000	1022.717368	27.215474	6000	1063.171544	23.611647	6000	1196.908773	27.496173	6000	1063.430423	26.969551	6000	1042.007518	24.974709	6000	1046.629393	26.082030	6000	1019.877806	28.758902	6000	1063.932461	24.863062	6000	1068.926086	24.479201	6000	1071.986767	24.051248	6000	1130.094811	24.075374	6000	1049.323558	24.034276	6000	1039.114235	23.902829	6000	1051.516222	24.542097	6000	1066.181536	27.258070	6000	1129.022163	30.634443	6000	1063.867774	24.041431	6000	1068.509343	23.696173	6000	1177.819642	30.763727	6000	1028.776028	23.795507	6000	1055.960164	24.016140	6000	1687.846852	24.501498	6000	1053.287201	25.084359	6000	1063.439770	26.326290	6000	1048.864836	23.672213	6000	1041.047864	23.694176	6000	1194.554448	24.830948	6000	1101.901481	29.442097	6000	1030.453574	24.455408	6000	1072.131054	25.128453	6000	1058.720418	29.067554	6000	1084.968833	25.042429	6000	1031.118341	26.329617	6000	1040.879590	23.796839	6000	1061.970350	25.101664	6000	1017.140144	23.817637	6000	1142.664364	26.951747	6000	1152.916246	26.441265	6000	1079.348099	25.461065	6000	1119.680711	24.579035	6000	1157.938595	28.935607	6000	1116.871813	24.046589	6000	1038.855200	23.601498	6000	1048.486651	24.560566	6000	1085.189641	25.190017	6000	1064.966615	30.257571	6000	1015.936633	29.201331	6000	1088.699681	27.120632	6000	1018.680596	29.652246	6000	1042.952498	23.847255	6000	1020.450608	29.571381	6000	1014.515591	26.194010	6000	1200.160636	23.686689	6000	1063.994964	24.326622	6000	1068.287564	29.429950	6000	1085.029982	37.106656	6000	1086.316761	24.464559	6000	1033.499053	24.397338	6000	1022.733099	23.967554	6000	1286.249125	26.945757	6000	1029.226395	27.229617
7000	1222.354443	24.535893	7000	1172.270784	23.687313	7000	1193.587384	25.655773	7000	1238.364374	24.308549	7000	1247.581899	26.300128	7000	1190.492654	25.220922	7000	1143.681482	24.367062	7000	1182.756208	26.337662	7000	1267.533386	24.558442	7000	1227.082205	23.879549	7000	1149.011791	26.400171	7000	1129.164012	30.672613	7000	1193.947620	28.874839	7000	1481.028101	30.005566	7000	1159.336458	25.428857	7000	1175.867622	23.609676	7000	1269.756471	23.856287	7000	1169.939423	23.636078	7000	1158.723566	25.073783	7000	1164.111498	23.895390	7000	1165.265631	24.874982	7000	1247.954930	23.615955	7000	1146.173459	24.065791	7000	1230.570834	29.113601	7000	1174.813219	28.811902	7000	1211.617481	23.775082	7000	1171.764164	26.503211	7000	1165.940035	23.660340	7000	1229.088555	25.692308	7000	1141.964981	26.118596	7000	1187.205340	24.572570	7000	1202.870099	27.685600	7000	1162.318359	25.975453	7000	1173.606042	23.619381	7000	1203.447367	24.477094	7000	1134.047846	23.988155	7000	1191.337885	25.970315	7000	1199.379315	24.691737	7000	1173.441159	24.465820	7000	1192.212773	23.764664	7000	1159.108289	26.317254	7000	1183.827471	24.341373	7000	1248.361789	27.789496	7000	1163.362656	23.959755	7000	1160.329589	23.628942	7000	1237.749389	23.814757	7000	1206.743132	23.790210	7000	1170.824007	23.641359	7000	1182.224371	24.195233	7000	1154.154314	23.612102	7000	1183.260944	24.279149	7000	1193.704502	23.657485	7000	1186.405527	26.494934	7000	1302.276380	24.607250	7000	1181.981053	23.675467	7000	1183.066392	23.703439	7000	1151.658332	26.664907	7000	1162.841091	23.826745	7000	1252.713616	32.741401	7000	2152.552930	27.067504	7000	1325.622774	31.866562	7000	1224.188014	23.878835	7000	2066.806417	26.217497	7000	1174.378840	24.654060	7000	1178.778065	28.978878	7000	1161.838336	23.620808	7000	1231.036358	24.621236	7000	1195.677270	24.645212	7000	1194.228981	26.175824	7000	1157.446366	24.327530	7000	1239.854484	27.920080
8000	1621.872092	24.981410	8000	1535.164301	25.320399	8000	1392.036892	23.854148	8000	1516.739415	24.915034	8000	1537.500930	24.777168	8000	1387.205077	25.590767	8000	1400.492651	28.357704	8000	1415.927741	26.350094	8000	1394.027904	27.168808	8000	1538.664202	32.098066	8000	1528.274708	26.167561	8000	1761.815420	23.928135	8000	1432.592493	26.244042	8000	1402.098027	24.025577	8000	1397.782012	24.472489	8000	1759.489202	28.614722	8000	1469.065645	24.463381	8000	1550.367077	24.300936	8000	1457.480826	25.495446	8000	1388.144773	24.446538	8000	1412.697066	25.590393	8000	1549.486949	33.946600	8000	1369.190577	24.080848	8000	1404.165540	24.708546	8000	1362.197455	24.331753	8000	2679.829135	23.879476	8000	1865.400008	30.544853	8000	1376.010746	27.535745	8000	1464.541867	23.808359	8000	1468.782049	23.775296	8000	1415.453157	24.608983	8000	1427.384897	31.410480	8000	1625.335313	24.398004	8000	1452.434262	23.762570	8000	1406.449947	24.577293	8000	1441.327088	27.325390	8000	1368.128861	24.252277	8000	1480.908684	26.410480	8000	1465.429918	24.537118	8000	1382.008628	23.687711	8000	1486.130292	34.173799	8000	2497.795069	23.646413	8000	1366.445170	24.039052	8000	1415.995442	24.122021	8000	1362.589303	27.532252	8000	1446.905938	25.741984	8000	1419.463941	24.107424	8000	1454.341560	23.890705	8000	1442.267814	27.334872	8000	1446.888702	24.514286	8000	1455.145679	23.978540	8000	1417.561107	26.730505	8000	1550.240673	27.082845	8000	1572.393922	33.550593	8000	1563.588690	26.211478	8000	1401.705174	25.124641	8000	1442.547738	29.999501	8000	1387.170324	24.733999	8000	1418.020572	30.846787	8000	1454.078742	24.096694	8000	1425.557531	23.681098	8000	1773.614728	24.451029	8000	1401.561851	29.570930	8000	1387.652579	26.737742	8000	1493.473499	24.627823	8000	1421.213719	28.258640	8000	1357.250631	26.960200	8000	1394.836681	24.033313	8000	1425.453358	23.877355	8000	1614.873829	26.127386	8000	1421.624073	25.745228
9000	1401.422147	26.287712	9000	1288.268785	26.111555	9000	1318.876596	23.664225	9000	1393.109818	30.752914	9000	1304.126166	24.503719	9000	1335.421591	23.904873	9000	1432.578634	27.077589	9000	1296.849672	25.377622	9000	1376.253734	24.167610	9000	1524.543082	28.413808	9000	2077.927261	26.237096	9000	1315.352998	25.875680	9000	1420.270309	29.338994	9000	1316.466774	24.914308	9000	1347.884256	27.800533	9000	1355.128867	23.822733	9000	1313.423812	25.595072	9000	1329.324900	23.697747	9000	1327.017063	25.560773	9000	1405.389387	24.558997	9000	1337.164910	27.196359	9000	1345.461492	23.762016	9000	1412.641912	25.740704	9000	1305.760856	23.810634	9000	1272.227197	23.655456	9000	1301.924284	25.924631	9000	1466.276499	33.062382	9000	1377.734745	29.286935	9000	1270.046363	25.922633	9000	1334.437667	23.754024	9000	1327.597909	24.026973	9000	1380.738471	26.417249	9000	1522.133202	24.440559	9000	1315.400468	27.298368	9000	1347.597285	24.588523	9000	1270.969841	23.894661	9000	1337.139979	24.278388	9000	1267.678520	23.840715	9000	1315.330387	25.429459	9000	1676.534931	28.002220	9000	1332.479019	24.844378	9000	1285.629045	24.068376	9000	1416.166346	24.687979	9000	1290.425452	24.003774	9000	1439.165246	25.671329	9000	1387.405980	25.102675	9000	1456.058103	24.652903	9000	1483.993276	27.594628	9000	1354.757208	23.863026	9000	1357.410096	25.239427	9000	1310.958504	25.013320	9000	1304.614780	25.907981	9000	1342.783863	24.013764	9000	1319.260475	24.461316	9000	1335.007878	24.881563	9000	1346.228779	26.168276	9000	1477.383401	32.193806	9000	1291.320182	23.706738	9000	1336.579797	24.570763	9000	1265.452801	23.734710	9000	1282.971561	26.458652	9000	1314.351905	24.621379	9000	1438.719015	24.680431	9000	1393.243661	23.712177	9000	1419.038630	27.207681	9000	1258.550535	25.781885	9000	1301.044223	27.064824	9000	1282.954399	28.150960	9000	1297.071146	25.840382	9000	1840.228914	24.468309	9000	1324.294878	26.593518
10000	2288.222815	26.587189	10000	1914.018311	27.060058	10000	1957.835515	24.921755	10000	1947.916508	24.679125	10000	1908.610546	23.954332	10000	1895.440073	25.309483	10000	2020.651352	23.870491	10000	1882.516783	24.051164	10000	1880.479582	26.126412	10000	2142.888675	24.610972	10000	1894.651639	23.811632	10000	1937.091311	23.996003	10000	2000.237971	24.717798	10000	1894.162983	23.889777	10000	1945.487618	24.043869	10000	2000.047785	24.149495	10000	2029.723994	26.533427	10000	2129.175907	31.813630	10000	2033.513983	25.274608	10000	1872.304783	23.746777	10000	2646.165566	27.004397	10000	1958.170165	23.867892	10000	2249.470953	24.377036	10000	1935.488422	24.747976	10000	2013.987582	24.061157	10000	1904.381649	25.450085	10000	1915.269537	26.794444	10000	1949.062407	27.574798	10000	2935.210776	23.984111	10000	1854.309470	24.135705	10000	2127.168907	30.365544	10000	1890.882000	25.265214	10000	1924.370137	24.461377	10000	2125.474882	26.167483	10000	1951.667934	24.825622	10000	2049.311248	25.678525	10000	1895.219252	24.923953	10000	2014.970658	25.808634	10000	1930.032556	24.555811	10000	1911.562347	25.148796	10000	2155.332111	23.626661	10000	1864.246554	25.232038	10000	1952.550220	26.801339	10000	1975.545405	25.890776	10000	2106.454904	26.289198	10000	1903.107902	24.797742	10000	2081.540403	26.694514	10000	2074.707663	25.079344	10000	1922.137597	24.222144	10000	2136.278196	26.892675	10000	1889.143680	26.319376	10000	2095.007811	26.173279	10000	2080.299608	25.190467	10000	1895.891096	25.852803	10000	1946.169502	27.152693	10000	2119.973959	24.695813	10000	2046.294518	25.403617	10000	1912.609734	26.171380	10000	1902.435168	23.993904	10000	2139.311659	25.359249	10000	1899.080925	25.482662	10000	1928.661908	24.952134	10000	2052.864718	25.859998	10000	1910.785368	23.839412	10000	1933.954920	24.995203	10000	1882.737663	24.921855	10000	1969.952699	24.743280	10000	2383.158173	31.551014	10000	1886.436497	25.017188	10000	1867.969882	25.950834	10000	1946.275045	23.742380
