1000	200.232480	222.600000
2000	202.177846	332.137931
3000	327.521818	242.259259
4000	189.057249	262.464286
5000	198.884476	356.914286
6000	201.956204	324.722222
7000	203.309949	311.000000
8000	194.526069	309.606061
9000	282.415135	291.413793
10000	226.720277	386.538462
11000	214.765317	309.470588
12000	203.071699	290.147059
13000	206.199982	405.935484
14000	220.189092	374.400000
15000	228.514256	376.545455
16000	215.921307	404.500000
17000	205.766198	312.120000
18000	335.816024	344.901639
19000	239.679411	457.090909
20000	230.557348	330.423077
21000	211.763112	306.023810
