1000	183.989106	276.647059
2000	187.088100	251.728814
3000	213.443782	293.132075
4000	204.229576	271.140000
5000	232.760456	337.745098
6000	202.879962	282.435484
7000	201.114241	295.441860
8000	352.192199	345.313725
9000	313.867086	291.791667
10000	251.077136	322.703704
11000	221.047873	280.204082
12000	242.625900	350.950000
13000	233.408017	330.910714
14000	199.167504	315.934783
15000	223.264466	390.740000
16000	239.179303	312.894737
17000	233.081090	362.410714
18000	787.552770	410.745098
19000	251.566174	275.600000
20000	247.380750	363.508475
