1000	3614.000000	2859.733000	1000	2558.000000	4253.034000	1000	4885.000000	2294.513000	1000	2192.000000	1473.054000	1000	2555.000000	1641.860000	1000	2078.000000	1705.161000	1000	2073.000000	1468.921000	1000	2076.000000	1411.565000	1000	2149.000000	1469.399000	1000	2453.000000	1812.007000	1000	2543.000000	1866.992000	1000	2114.000000	1515.565000	1000	2016.000000	1363.447000	1000	2117.000000	1461.080000	1000	2005.000000	1413.948000	1000	1979.000000	1417.023000	1000	2118.000000	1470.580000	1000	2097.000000	1406.197000	1000	2032.000000	1403.532000	1000	2195.000000	1521.356000
2000	15491.000000	5364.080500	2000	5235.000000	4101.896000	2000	9204.000000	7036.568000	2000	12147.000000	3320.002000	2000	4202.000000	3581.050500	2000	4023.000000	3236.104000	2000	5791.000000	3204.816500	2000	3866.000000	3194.607000	2000	4127.000000	3424.055500	2000	5119.000000	3513.975500	2000	4292.000000	3299.397000	2000	4123.000000	3347.393500	2000	3854.000000	3125.543000	2000	4122.000000	3312.809500	2000	3977.000000	3164.275000	2000	3843.000000	3116.708000	2000	4263.000000	3312.392000	2000	3981.000000	3188.499000	2000	3838.000000	3144.487500	2000	5034.000000	4107.766000
3000	8165.000000	7193.557333	3000	6882.000000	5639.917333	3000	10670.000000	8881.886667	3000	8805.000000	5203.819000	3000	6107.000000	5129.564333	3000	5725.000000	4903.842667	3000	8465.000000	4984.352667	3000	5750.000000	5263.241333	3000	6118.000000	5408.497000	3000	6104.000000	5247.078000	3000	6301.000000	4903.449333	3000	6346.000000	5503.480000	3000	5871.000000	5306.913333	3000	6126.000000	4996.217333	3000	5892.000000	4846.075333	3000	5734.000000	4834.179667	3000	6300.000000	4942.708333	3000	5933.000000	4862.782000	3000	5873.000000	5018.180000	3000	7636.000000	6445.685333
4000	9917.000000	9686.129000	4000	10159.000000	8044.841750	4000	13842.000000	12781.767750	4000	8112.000000	7519.883750	4000	11843.000000	6647.911500	4000	7648.000000	6600.810750	4000	7828.000000	6572.032000	4000	9651.000000	6997.139250	4000	8105.000000	6961.613750	4000	8316.000000	6980.162000	4000	7819.000000	6579.322500	4000	8371.000000	6986.804000	4000	7568.000000	6520.458750	4000	8077.000000	6624.897250	4000	7759.000000	6743.324750	4000	7606.000000	6420.996500	4000	7810.000000	6545.749000	4000	7583.000000	6679.602500	4000	7858.000000	6494.652500	4000	10289.000000	8707.022500
5000	13311.000000	13386.263400	5000	13010.000000	11513.579600	5000	16660.000000	18017.554200	5000	10135.000000	8824.188800	5000	13874.000000	8455.711400	5000	11609.000000	8641.397800	5000	9511.000000	8945.008600	5000	9466.000000	8705.820200	5000	9824.000000	8660.415400	5000	10041.000000	9116.136000	5000	9770.000000	8587.382000	5000	12358.000000	8682.255200	5000	9481.000000	8210.099600	5000	9785.000000	8297.224200	5000	9852.000000	8189.899400	5000	9435.000000	8105.137200	5000	11447.000000	8809.563400	5000	9435.000000	8240.995200	5000	9736.000000	8307.866400	5000	12747.000000	10229.557600
6000	31921.000000	13526.841167	6000	18717.000000	13179.826667	6000	18365.000000	19558.849000	6000	11724.000000	10799.643000	6000	11401.000000	10648.964667	6000	11406.000000	9917.077333	6000	16945.000000	10341.578000	6000	11393.000000	10791.273167	6000	14022.000000	10479.995000	6000	12119.000000	10656.645833	6000	11796.000000	10146.494833	6000	12322.000000	10728.146167	6000	11364.000000	9916.373000	6000	12036.000000	10146.809500	6000	11786.000000	10090.173833	6000	11379.000000	9890.022667	6000	11731.000000	9814.978667	6000	11329.000000	9973.906000	6000	11742.000000	10251.593833	6000	14554.000000	11864.888333
7000	18051.000000	16322.702714	7000	19125.000000	19770.211571	7000	90004.000000	15652.383714	7000	14776.000000	14412.989000	7000	13677.000000	12083.774857	7000	13332.000000	12488.272857	7000	21716.000000	12886.762143	7000	13286.000000	12492.949857	7000	13787.000000	12561.925429	7000	13719.000000	12328.244143	7000	13286.000000	11838.660000	7000	16900.000000	12848.486714	7000	13252.000000	11872.212571	7000	13716.000000	11692.786429	7000	17946.000000	12397.172857	7000	13293.000000	11792.164429	7000	16285.000000	11999.147143	7000	14310.000000	12168.652143	7000	14222.000000	12189.582714	7000	14009.000000	13097.160429
8000	25411.000000	19316.935125	8000	59727.000000	25116.888000	8000	26849.000000	16695.027250	8000	19660.000000	17725.872125	8000	18643.000000	13996.160625	8000	19350.000000	17619.826125	8000	15263.000000	14320.001375	8000	15150.000000	14733.965000	8000	15749.000000	14622.365250	8000	16308.000000	14404.742000	8000	15281.000000	13330.696125	8000	15941.000000	14441.173375	8000	15142.000000	13476.344125	8000	19548.000000	13530.046250	8000	15589.000000	13676.735000	8000	15296.000000	13256.259250	8000	15572.000000	13392.823625	8000	15139.000000	13688.352750	8000	34129.000000	13711.564625	8000	17694.000000	17984.180875
9000	27590.000000	32452.835778	9000	30676.000000	26692.003222	9000	23951.000000	18098.353222	9000	25301.000000	19123.330333	9000	35298.000000	18430.201778	9000	129824.000000	19924.194778	9000	17393.000000	17390.800667	9000	17579.000000	15878.715222	9000	18946.000000	16170.320667	9000	17025.000000	16258.171667	9000	16987.000000	15313.806222	9000	18767.000000	16414.613667	9000	17099.000000	15257.221778	9000	17165.000000	15493.250889	9000	17026.000000	15030.808667	9000	17010.000000	15388.872222	9000	17452.000000	15250.641667	9000	17148.000000	14948.316667	9000	21872.000000	18900.202222	9000	24482.000000	19095.617000
10000	33623.000000	23137.154600	10000	57987.000000	31130.630100	10000	26269.000000	20216.653500	10000	25319.000000	19881.218200	10000	20318.000000	18556.379000	10000	25549.000000	18820.929100	10000	20263.000000	22018.820200	10000	18957.000000	17952.093200	10000	19680.000000	17941.831500	10000	19959.000000	17906.436600	10000	19332.000000	17009.857000	10000	21572.000000	18207.766300	10000	18941.000000	17197.273400	10000	39230.000000	16888.862600	10000	19527.000000	16969.716100	10000	18922.000000	16996.351800	10000	19426.000000	17006.300300	10000	18895.000000	16871.359600	10000	24759.000000	20551.755700	10000	31373.000000	25363.503600
