1000	9727.000000	2672.603249	1000	8817.000000	1874.186059	1000	7307.000000	1459.196017	1000	8626.000000	1538.307128	1000	33884.000000	1569.794025	1000	6331.000000	1737.638889	1000	6057.000000	1527.127883	1000	6889.000000	1368.693396	1000	7341.000000	1843.136792	1000	7186.000000	1661.121069	1000	5755.000000	1395.551363	1000	8085.000000	2166.129455	1000	7186.000000	1483.783543	1000	8111.000000	1611.045073	1000	6831.000000	1372.072851	1000	6114.000000	1367.652516	1000	6252.000000	1403.324948	1000	6026.000000	1494.266771	1000	6775.000000	1376.254717	1000	8549.000000	2189.424004
2000	19578.000000	3977.301444	2000	16593.000000	2940.050542	2000	12633.000000	3528.222022	2000	13258.000000	3900.007736	2000	17989.000000	2937.688499	2000	12197.000000	3231.184889	2000	12662.000000	3056.408974	2000	10700.000000	3246.896854	2000	15788.000000	3082.904590	2000	12736.000000	2854.920578	2000	12385.000000	2765.125580	2000	14975.000000	3623.308922	2000	11977.000000	2783.862558	2000	16501.000000	2829.759670	2000	11536.000000	2748.320526	2000	11643.000000	2624.287519	2000	12857.000000	2779.059309	2000	11872.000000	2749.328778	2000	12062.000000	2677.244972	2000	17151.000000	3980.195204
3000	150683.000000	6270.125709	3000	19079.000000	4934.033678	3000	18157.000000	4647.558019	3000	23361.000000	5284.401134	3000	23425.000000	4537.601867	3000	24796.000000	4621.509003	3000	19432.000000	4567.342948	3000	21484.000000	4250.553184	3000	19009.000000	4338.969490	3000	23181.000000	4599.629877	3000	17430.000000	3921.630544	3000	23124.000000	5440.778926	3000	19363.000000	4070.843114	3000	23937.000000	3999.766255	3000	17308.000000	3914.445148	3000	20404.000000	3990.341280	3000	18174.000000	3916.973324	3000	17763.000000	3923.980827	3000	17686.000000	3946.092698	3000	21724.000000	4846.352784
4000	127194.000000	8035.850917	4000	43858.000000	7476.591998	4000	24498.000000	5953.456040	4000	23885.000000	7036.409021	4000	22357.000000	5876.682339	4000	23692.000000	5941.091871	4000	30715.000000	6265.827472	4000	21814.000000	5803.274337	4000	22655.000000	6170.494393	4000	24110.000000	6171.791667	4000	22750.000000	5391.647936	4000	35734.000000	7160.182977	4000	22574.000000	5535.765928	4000	23677.000000	5560.755097	4000	21794.000000	5512.716616	4000	25469.000000	5466.563965	4000	35753.000000	5456.639526	4000	23007.000000	5369.156218	4000	22925.000000	5415.801351	4000	31803.000000	6355.463685
5000	42940.000000	8786.226123	5000	38756.000000	7203.117260	5000	30572.000000	7290.276204	5000	30899.000000	7888.817179	5000	32828.000000	7435.414205	5000	43367.000000	7940.165419	5000	28206.000000	7487.028632	5000	41369.000000	7193.471064	5000	58124.000000	7686.342068	5000	29121.000000	7473.963072	5000	27093.000000	6922.928571	5000	39481.000000	8744.720963	5000	26905.000000	6744.180696	5000	32080.000000	6681.518616	5000	27156.000000	7017.729563	5000	29866.000000	6784.250202	5000	27680.000000	6645.980878	5000	27194.000000	6994.217220	5000	29283.000000	6775.760016	5000	41001.000000	8363.649433
6000	40448.000000	10554.745541	6000	61125.000000	8378.331972	6000	41645.000000	8391.907151	6000	52701.000000	8936.962660	6000	34630.000000	8571.825804	6000	34346.000000	8822.525254	6000	34315.000000	8842.027338	6000	38710.000000	8634.485664	6000	35584.000000	8659.681364	6000	34627.000000	9019.051509	6000	40935.000000	8260.218786	6000	55996.000000	10676.149775	6000	62633.000000	8060.803134	6000	33742.000000	8161.003667	6000	34109.000000	7976.900983	6000	32890.000000	8160.303384	6000	32616.000000	8270.484914	6000	32391.000000	7885.004751	6000	35686.000000	7948.958576	6000	65392.000000	9555.667111
7000	89651.000000	15200.236969	7000	39051.000000	9892.762152	7000	38289.000000	9967.420425	7000	42699.000000	10506.908785	7000	39356.000000	10799.216837	7000	63964.000000	10790.285286	7000	49308.000000	10246.183236	7000	40029.000000	10606.868887	7000	39429.000000	10812.217057	7000	45370.000000	11913.229795	7000	38593.000000	9789.215520	7000	68972.000000	12668.501245	7000	38592.000000	9617.968228	7000	38582.000000	9543.712152	7000	38947.000000	9637.737701	7000	44293.000000	9596.153807	7000	39205.000000	9623.629136	7000	60791.000000	9639.665227	7000	43273.000000	9517.362152	7000	81933.000000	13053.364934
8000	71460.000000	17400.808636	8000	47373.000000	11278.829182	8000	46282.000000	11113.972373	8000	88163.000000	11719.173220	8000	238605.000000	14821.661588	8000	91695.000000	12320.023897	8000	43860.000000	11709.530345	8000	45064.000000	11964.581110	8000	58726.000000	11802.747819	8000	49970.000000	15566.500569	8000	45083.000000	10912.804021	8000	48572.000000	13647.165761	8000	70912.000000	10917.588064	8000	45733.000000	10947.114174	8000	47321.000000	10929.939879	8000	46767.000000	10974.800164	8000	45007.000000	10925.525857	8000	46110.000000	11270.726198	8000	47513.000000	11153.295865	8000	83092.000000	17368.450436
9000	371851.000000	19955.554784	9000	49621.000000	12403.539227	9000	55255.000000	15935.620291	9000	68933.000000	12922.301200	9000	256636.000000	17373.460384	9000	54338.000000	13674.790866	9000	51637.000000	13082.573564	9000	73618.000000	13378.305812	9000	80321.000000	14634.834871	9000	213710.000000	15519.767641	9000	51925.000000	12195.301089	9000	67979.000000	13738.467996	9000	83509.000000	12042.813590	9000	55475.000000	12231.835704	9000	53411.000000	12320.222858	9000	53304.000000	12014.243194	9000	70511.000000	12304.100178	9000	57713.000000	12158.667908	9000	76517.000000	12328.509112	9000	92743.000000	20058.162240
10000	111939.000000	19961.297541	10000	89210.000000	13568.855840	10000	159430.000000	17400.672277	10000	62612.000000	14661.599113	10000	64644.000000	17327.880379	10000	91318.000000	15037.295929	10000	73768.000000	14654.631412	10000	57256.000000	14942.272146	10000	353353.000000	18766.925123	10000	147566.000000	17973.215812	10000	56579.000000	13638.275925	10000	106490.000000	13749.473143	10000	89732.000000	13824.301018	10000	62286.000000	13535.331402	10000	59381.000000	13590.546710	10000	58810.000000	13913.256576	10000	56638.000000	13436.427895	10000	56158.000000	13452.909352	10000	59818.000000	13463.983322	10000	115558.000000	19540.023078
